id,word,reading,english_meaning,study_level,kanji_components,component_levels
N2_V147,演劇,えんげき,drama; theater,N2,演 劇,N3 N2
N2_V148,名刺,めいし,business card,N2,名 刺,N5 N2
N2_V149,記述,きじゅつ,description; written account,N2,記 述,N3 N2
N2_V150,車輪,しゃりん,wheel,N2,車 輪,N5 N2
N2_V151,浅黒い,あさぐろい,dark-complexioned; swarthy,N2,浅 黒,N2 N4
N2_V152,単純,たんじゅん,simple; straightforward,N2,単 純,N3 N2
N2_V153,薄暗い,うすぐらい,dim; gloomy,N2,薄 暗,N2 N3
N2_V154,大阪,おおさか,Osaka,N2,大 阪,N5 N2
N2_V155,韓国,かんこく,South Korea,N2,韓 国,N2 N5
N2_V156,固定,こてい,fixing; fixed,N2,固 定,N2 N3
N2_V157,巨大,きょだい,huge; gigantic,N2,巨 大,N2 N5
N2_V158,講演,こうえん,lecture; speech,N2,講 演,N2 N3
N2_V159,一般,いっぱん,general; ordinary,N2,一 般,N5 N2
N2_V160,熱湯,ねっとう,boiling water,N2,熱 湯,N3 N2
N2_V161,取捨,しゅしゃ,selection; choice,N2,取 捨,N3 N2
N2_V162,衣服,いふく,clothes; clothing,N2,衣 服,N2 N4
N2_V163,交替,こうたい,alternation; changeover,N2,交 替,N3 N2
N2_V164,中央,ちゅうおう,center; central,N2,中 央,N5 N2
N2_V165,骨折,こっせつ,bone fracture,N2,骨 折,N2 N3
N2_V166,年齢,ねんれい,age,N2,年 齢,N5 N2
N2_V167,照明,しょうめい,lighting; illumination,N2,照 明,N2 N4
N2_V168,階層,かいそう,class; hierarchy; layer,N2,階 層,N2 N2
N2_V169,弱点,じゃくてん,weak point,N2,弱 点,N2 N3
N2_V170,頭脳,ずのう,brain; intellect,N2,頭 脳,N3 N2
N2_V171,航海,こうかい,voyage; navigation,N2,航 海,N2 N4
N2_V172,快速,かいそく,rapid; rapid train,N2,快 速,N2 N3
N2_V173,翌日,よくじつ,the following day,N2,翌 日,N2 N5
N2_V174,旧式,きゅうしき,old style; obsolete type,N2,旧 式,N2 N3
N2_V175,筆者,ひっしゃ,writer; author,N2,筆 者,N2 N4
N2_V176,交換,こうかん,exchange,N2,交 換,N3 N2
N2_V177,群島,ぐんとう,archipelago,N2,群 島,N2 N2
N2_V178,爆発,ばくはつ,explosion,N2,爆 発,N2 N4
N2_V179,捜査,そうさ,investigation; search,N2,捜 査,N2 N2
N2_V180,石油,せきゆ,petroleum; oil,N2,石 油,N3 N2
N2_V181,絶叫,ぜっきょう,scream; shriek,N2,絶 叫,N3 N2
N2_V182,追伸,ついしん,postscript,N2,追 伸,N3 N2
N2_V183,承認,しょうにん,approval; recognition,N2,承 認,N2 N3
N2_V184,雨雲,あまぐも,rain cloud,N2,雨 雲,N5 N2
N2_V185,紹介者,しょうかいしゃ,introducer,N2,紹 介 者,N2 N2 N4
N2_V186,包装,ほうそう,wrapping; packaging,N2,包 装,N2 N2
N2_V187,官庁,かんちょう,government office,N2,官 庁,N3 N2
N2_V188,測定,そくてい,measurement,N2,測 定,N2 N3
N2_V189,占有,せんゆう,exclusive possession; occupancy,N2,占 有,N2 N4
N2_V190,混雑,こんざつ,congestion; crowding,N2,混 雑,N2 N3
N2_V191,倍数,ばいすう,multiple (in mathematics),N2,倍 数,N2 N3
N2_V192,荒野,こうや,wilderness,N2,荒 野,N2 N4
N2_V193,缶詰,かんづめ,canned food,N2,缶 詰,N2 N2
N2_V194,栄光,えいこう,glory,N2,栄 光,N2 N3
N2_V195,病床,びょうしょう,sickbed; hospital bed,N2,病 床,N4 N2
N2_V196,規則,きそく,rule; regulation,N2,規 則,N3 N2
N2_V197,手順,てじゅん,procedure; steps,N2,手 順,N4 N2
N2_V198,枚数,まいすう,number of sheets/items,N2,枚 数,N2 N3
N2_V199,厚紙,あつがみ,cardboard; thick paper,N2,厚 紙,N2 N4
N2_V200,皮肉,ひにく,irony; sarcasm,N2,皮 肉,N2 N4
N2_V201,輸送,ゆそう,transportation,N2,輸 送,N2 N4
N2_V202,濃度,のうど,concentration; density,N2,濃 度,N2 N4
N2_V203,簡単,かんたん,simple; easy,N2,簡 単,N2 N3
N2_V204,子孫,しそん,descendants; posterity,N2,子 孫,N5 N2
N2_V205,丈夫,じょうぶ,strong; durable; healthy,N2,丈 夫,N2 N3
N2_V206,黄色,きいろ,yellow,N2,黄 色,N2 N4
N2_V207,届出,とどけで,notification; report; filing,N2,届 出,N2 N5
N2_V208,連絡,れんらく,contact; communication,N2,連 絡,N3 N2
N2_V209,採用,さいよう,adoption; hiring,N2,採 用,N2 N4
N2_V210,傾向,けいこう,tendency; trend,N2,傾 向,N2 N3
N2_V211,鼻血,はなぢ,nosebleed,N2,鼻 血,N2 N2
N2_V212,宝石,ほうせき,jewel; gemstone,N2,宝 石,N2 N3
N2_V213,患者,かんじゃ,patient,N2,患 者,N2 N4
N2_V214,延長,えんちょう,extension; prolongation,N2,延 長,N2 N5
N2_V215,法律,ほうりつ,law,N2,法 律,N3 N2
N2_V216,希望,きぼう,hope; wish,N2,希 望,N2 N3
N2_V217,甘味,あまみ,sweetness; sweet taste,N2,甘 味,N2 N4
N2_V218,港湾,こうわん,harbor; port,N2,港 湾,N3 N2
N2_V219,沈下,ちんか,sinking; subsidence,N2,沈 下,N2 N5
N2_V220,販売,はんばい,sales; selling,N2,販 売,N2 N4
N2_V221,欧米,おうべい,Europe and America; the West,N2,欧 米,N2 N3
N2_V222,砂場,すなば,sandbox; sandy area,N2,砂 場,N2 N4
N2_V223,尊敬,そんけい,respect,N2,尊 敬,N2 N2
N2_V224,複数,ふくすう,plural; multiple,N2,複 数,N2 N3
N2_V225,宿泊,しゅくはく,lodging; stay overnight,N2,宿 泊,N3 N2
N2_V226,枝葉,えだは,branches and leaves; details,N2,枝 葉,N2 N3
N2_V227,依頼,いらい,request; commission,N2,依 頼,N2 N3
N2_V228,幼児,ようじ,young child; infant,N2,幼 児,N2 N2
N2_V229,斬新,ざんしん,novel; original,N2,斬 新,N2 N4
N2_V230,勇気,ゆうき,courage,N2,勇 気,N2 N5
N2_V231,上昇,じょうしょう,rise; increase,N2,上 昇,N5 N2
N2_V232,長寿,ちょうじゅ,longevity,N2,長 寿,N5 N2
N2_V233,四季,しき,four seasons,N2,四 季,N5 N2
N2_V234,液体,えきたい,liquid,N2,液 体,N2 N4
N2_V235,食券,しょっけん,meal ticket,N2,食 券,N5 N2
N2_V236,祭日,さいじつ,holiday; festival day,N2,祭 日,N2 N5
N2_V237,手袋,てぶくろ,gloves,N2,手 袋,N4 N2
N2_V238,燃料,ねんりょう,fuel,N2,燃 料,N2 N4
N2_V239,毒物,どくぶつ,poisonous substance,N2,毒 物,N2 N4
N2_V240,改札,かいさつ,ticket gate; ticket inspection,N2,改 札,N2 N2
N2_V241,狙い所,ねらいどころ,point to aim at; target point,N2,狙 所,N2 N3
N2_V242,脇道,わきみち,side road; byway,N2,脇 道,N2 N4
N2_V243,副業,ふくぎょう,side job,N2,副 業,N2 N4
N2_V244,敬語,けいご,honorific language,N2,敬 語,N2 N5
N2_V245,方針,ほうしん,policy; course of action,N2,方 針,N4 N2
N2_V246,拝見,はいけん,seeing; looking (humble),N2,拝 見,N2 N5
N2_V247,入浴,にゅうよく,bathing,N2,入 浴,N5 N2
N2_V248,苦悩,くのう,anguish; distress,N2,苦 悩,N3 N2
N2_V249,汚水,おすい,wastewater; dirty water,N2,汚 水,N2 N5
N2_V250,電灯,でんとう,electric light,N2,電 灯,N5 N2
N2_V251,寝坊,ねぼう,oversleeping; late riser,N2,寝 坊,N3 N2
N2_V252,目尻,めじり,outer corner of the eye,N2,目 尻,N4 N2
N2_V253,涙声,なみだごえ,tearful voice,N2,涙 声,N2 N3
N2_V254,停止,ていし,stop; suspension,N2,停 止,N2 N4
N2_V255,完了,かんりょう,completion,N2,完 了,N3 N2
N2_V256,発汗,はっかん,perspiration; sweating,N2,発 汗,N4 N2
N2_V257,郵便,ゆうびん,mail; postal service,N2,郵 便,N2 N3
N2_V258,幅広い,はばひろい,wide; broad-ranging,N2,幅 広,N2 N4
N2_V259,童話,どうわ,children's story; fairy tale,N2,童 話,N2 N5
N2_V260,害虫,がいちゅう,harmful insect; pest,N2,害 虫,N3 N2
N2_V261,埋立地,うめたてち,reclaimed land,N2,埋 立 地,N2 N4 N4
N2_V262,小舟,こぶね,small boat,N2,小 舟,N5 N2
N2_V263,暗闇,くらやみ,darkness,N2,暗 闇,N3 N2
N2_V264,鉄棒,てつぼう,iron bar; horizontal bar,N2,鉄 棒,N2 N2
N2_V265,貨物,かもつ,freight; cargo,N2,貨 物,N2 N4
N2_V266,肌色,はだいろ,skin color; flesh color,N2,肌 色,N2 N4
N2_V267,内臓,ないぞう,internal organs,N2,内 臓,N3 N2
N2_V268,食塩,しょくえん,table salt,N2,食 塩,N5 N2
N2_V269,平均,へいきん,average,N2,平 均,N3 N2
N2_V270,湖水,こすい,lake water; lake,N2,湖 水,N2 N5
N2_V271,損失,そんしつ,loss,N2,損 失,N2 N3
N2_V272,膝頭,ひざがしら,kneecap; knee,N2,膝 頭,N2 N3
N2_V273,辛口,からくち,dry; spicy; harsh,N2,辛 口,N2 N4
N2_V274,双方,そうほう,both sides; both parties,N2,双 方,N2 N4
N2_V275,軒先,のきさき,edge of the eaves; storefront,N2,軒 先,N2 N5
N2_V276,成績,せいせき,results; grades; performance,N2,成 績,N3 N2
N2_V277,干物,ひもの,dried food; dried fish,N2,干 物,N2 N4
N2_V278,姓名,せいめい,full name; surname and given name,N2,姓 名,N2 N5
N2_V279,発掘,はっくつ,excavation; discovery,N2,発 掘,N4 N2
N2_V280,珍味,ちんみ,delicacy,N2,珍 味,N2 N4
N2_V281,訓練,くんれん,training; drill,N2,訓 練,N2 N2
N2_V282,預金,よきん,bank deposit; savings,N2,預 金,N2 N5
N2_V283,署名,しょめい,signature,N2,署 名,N2 N5
N2_V284,漁業,ぎょぎょう,fishing industry,N2,漁 業,N2 N4
N2_V285,緑色,みどりいろ,green color,N2,緑 色,N2 N4
N2_V286,畳表,たたみおもて,tatami surface matting,N2,畳 表,N2 N3
N2_V287,咲き方,さきかた,way of blooming,N2,咲 方,N2 N4
N2_V288,貿易,ぼうえき,trade; commerce,N2,貿 易,N2 N3
N2_V289,舞踊,ぶよう,dance,N2,舞 踊,N3 N2
N2_V290,開封,かいふう,opening a sealed item,N2,開 封,N4 N2
N2_V291,前兆,ぜんちょう,sign; omen; precursor,N2,前 兆,N5 N2
N2_V292,電柱,でんちゅう,utility pole,N2,電 柱,N5 N2
N2_V293,駐車,ちゅうしゃ,parking,N2,駐 車,N2 N5
N2_V294,祝日,しゅくじつ,public holiday,N2,祝 日,N2 N5
N2_V295,石炭,せきたん,coal,N2,石 炭,N3 N2
N2_V296,柔道,じゅうどう,judo,N2,柔 道,N2 N4
N2_V297,雇用,こよう,employment,N2,雇 用,N2 N4
N2_V298,乾杯,かんぱい,toast; cheers,N2,乾 杯,N2 N3
N2_V299,鋭角,えいかく,acute angle,N2,鋭 角,N2 N2
N2_V300,氷山,ひょうざん,iceberg,N2,氷 山,N2 N5
N2_V301,片隅,かたすみ,corner; nook,N2,片 隅,N2 N2
N2_V302,一冊,いっさつ,one book; one volume,N2,一 冊,N5 N2
N2_V303,毛糸,けいと,woolen yarn,N2,毛 糸,N2 N2
N2_V304,硬貨,こうか,coin,N2,硬 貨,N2 N2
N2_V305,塗料,とりょう,paint; coating material,N2,塗 料,N2 N4
N2_V306,愛憎,あいぞう,love and hate,N2,愛 憎,N3 N2
N2_V307,泥水,どろみず,muddy water,N2,泥 水,N2 N5
N2_V308,油脂,ゆし,oils and fats,N2,油 脂,N2 N2
N2_V309,花粉,かふん,pollen,N2,花 粉,N4 N2
N2_V310,名詞,めいし,noun,N2,名 詞,N5 N2
N2_V311,水筒,すいとう,water bottle; flask,N2,水 筒,N5 N2
N2_V312,清掃,せいそう,cleaning,N2,清 掃,N2 N2
N2_V313,鉄塔,てっとう,steel tower,N2,鉄 塔,N2 N2
N2_V314,賢者,けんじゃ,wise person; sage,N2,賢 者,N2 N4
N2_V315,拾得,しゅうとく,finding; picking up,N2,拾 得,N2 N3
N2_V316,小麦,こむぎ,wheat,N2,小 麦,N5 N2
N2_V317,印刷,いんさつ,printing,N2,印 刷,N2 N2
N2_V318,卵白,らんぱく,egg white,N2,卵 白,N2 N5
N2_V319,機械,きかい,machine; machinery,N2,機 械,N3 N2
N2_V320,灰皿,はいざら,ashtray,N2,灰 皿,N2 N2
N2_V321,祈願,きがん,prayer; petition,N2,祈 願,N2 N3
N2_V322,灰色,はいいろ,gray,N2,灰 色,N2 N4
N2_V323,召集,しょうしゅう,summoning; convocation,N2,召 集,N2 N4
N2_V324,溶液,ようえき,solution; liquid solution,N2,溶 液,N2 N2
N2_V325,研磨,けんま,polishing; grinding,N2,研 磨,N4 N2
N2_V326,粒子,りゅうし,particle,N2,粒 子,N2 N5
N2_V327,喫茶,きっさ,tea drinking; cafe,N2,喫 茶,N2 N4
N2_V328,机上,きじょう,on a desk; theoretical,N2,机 上,N2 N5
N2_V329,貯金,ちょきん,savings,N2,貯 金,N2 N5
N2_V330,一匹,いっぴき,one small animal,N2,一 匹,N5 N2
N2_V331,木綿,もめん,cotton,N2,木 綿,N5 N2
N2_V332,贈答,ぞうとう,exchange of gifts; gift-giving,N2,贈 答,N2 N4
N2_V333,冷凍,れいとう,freezing; frozen,N2,冷 凍,N3 N2
N2_V334,花瓶,かびん,flower vase,N2,花 瓶,N4 N2
N2_V335,帽子,ぼうし,hat; cap,N2,帽 子,N2 N5
N2_V336,清涼,せいりょう,cool; refreshing,N2,清 涼,N2 N2
N2_V337,秒数,びょうすう,number of seconds,N2,秒 数,N2 N3
N2_V338,湿度,しつど,humidity,N2,湿 度,N2 N4
N2_V339,蒸気,じょうき,steam; vapor,N2,蒸 気,N2 N5
N2_V340,菓子,かし,sweets; confectionery,N2,菓 子,N2 N5
N2_V341,耕地,こうち,cultivated land,N2,耕 地,N2 N4
N2_V342,鉱物,こうぶつ,mineral,N2,鉱 物,N2 N4
N2_V343,皮膚,ひふ,skin,N2,皮 膚,N2 N2
N2_V344,胃液,いえき,gastric juice,N2,胃 液,N2 N2
N2_V345,板挟み,いたばさみ,caught between two sides; dilemma,N2,板 挟,N2 N2
N2_V346,郊外,こうがい,suburbs; outskirts,N2,郊 外,N2 N5
N2_V347,銅像,どうぞう,bronze statue,N2,銅 像,N2 N2
N2_V348,鈍感,どんかん,insensitive; dull,N2,鈍 感,N2 N3
N2_V349,貝類,かいるい,shellfish,N2,貝 類,N2 N3
N2_V350,空缶,あきかん,empty can,N2,空 缶,N4 N2
N2_V351,枯葉,かれは,dead leaves,N2,枯 葉,N2 N3
N2_V352,水滴,すいてき,water droplet,N2,水 滴,N5 N2
N2_V353,符号,ふごう,sign; symbol; code,N2,符 号,N2 N3
N2_V354,家畜,かちく,livestock,N2,家 畜,N4 N2
N2_V355,軟弱,なんじゃく,weak; soft; feeble,N2,軟 弱,N2 N2
N2_V356,洗濯,せんたく,laundry; washing,N2,洗 濯,N3 N2
N2_V357,一隻,いっせき,one ship; one vessel,N2,一 隻,N5 N2
N2_V358,伺い書,うかがいしょ,written inquiry; approval request,N2,伺 書,N2 N5
N2_V359,沸点,ふってん,boiling point,N2,沸 点,N2 N3
N2_V360,曇天,どんてん,cloudy sky; overcast weather,N2,曇 天,N2 N5
N2_V361,肯定,こうてい,affirmation; positive,N2,肯 定,N2 N3
N2_V362,乾燥,かんそう,dryness; drying,N2,乾 燥,N2 N2
N2_V363,零点,れいてん,zero point; zero score,N2,零 点,N2 N3
N2_V364,軍人,ぐんじん,soldier; military person,N2,軍 人,N2 N5
N2_V365,歩兵,ほへい,infantry soldier,N2,歩 兵,N4 N2
N2_V366,半島,はんとう,peninsula,N2,半 島,N5 N2
N2_V367,農村,のうそん,farming village; rural village,N2,農 村,N2 N2
N2_V368,専門家,せんもんか,specialist; expert,N2,専 門 家,N2 N2 N4
N2_V369,武道,ぶどう,martial arts,N2,武 道,N2 N4
N2_V370,城下,じょうか,area below a castle; castle town,N2,城 下,N2 N5
N2_V371,総数,そうすう,total number,N2,総 数,N2 N3
N2_V372,集団,しゅうだん,group; collective,N2,集 団,N4 N2
N2_V373,電線,でんせん,electric wire,N2,電 線,N5 N2
N2_V374,情勢,じょうせい,situation; state of affairs,N2,情 勢,N3 N2
N2_V375,与党,よとう,ruling party,N2,与 党,N3 N2
N2_V376,日本史,にほんし,Japanese history,N2,日 本 史,N5 N5 N2
N2_V377,運営,うんえい,management; operation,N2,運 営,N4 N2
N2_V378,府内,ふない,within an urban prefecture,N2,府 内,N2 N3
N2_V379,一巻,いっかん,one volume,N2,一 巻,N5 N2
N2_V380,介入,かいにゅう,intervention,N2,介 入,N2 N5
N2_V381,蔵書,ぞうしょ,collection of books,N2,蔵 書,N2 N5
N2_V382,改造,かいぞう,remodeling; modification,N2,改 造,N2 N2
N2_V383,屋根,やね,roof,N2,屋 根,N4 N2
N2_V384,山寺,やまでら,mountain temple,N2,山 寺,N5 N2
N2_V385,将校,しょうこう,military officer,N2,将 校,N2 N5
N2_V386,改良,かいりょう,improvement,N2,改 良,N2 N3
N2_V387,県外,けんがい,outside the prefecture,N2,県 外,N2 N5
N2_V388,画像,がぞう,image; picture,N2,画 像,N4 N2
N2_V389,再会,さいかい,reunion,N2,再 会,N2 N4
N2_V390,血液,けつえき,blood,N2,血 液,N2 N2
N2_V391,予算,よさん,budget,N2,予 算,N3 N2
N2_V392,清掃員,せいそういん,cleaner; sanitation worker,N2,清 掃 員,N2 N2 N4
N2_V393,技能,ぎのう,skill; technical ability,N2,技 能,N2 N3
