id,kanji,english_meaning,readings_kana,reading_count,introduced_level,compound_count,compound_refs
N4_K066,死,death; die,し | しぬ,2,N4,3,N4_V169 N4_V170 N4_V171
N4_K067,安,cheap; safe; peaceful,あん | やすい,2,N4,4,N4_V058 N4_V106 N4_V172 N4_V173
N4_K068,親,parent; intimate,しん | おや | したしい | したしむ,4,N4,3,N4_V153 N4_V174 N4_V175
N4_K069,強,strong; force,きょう | ごう | つよい | つよまる | つよめる | しいる,6,N4,2,N4_V176 N4_V177
N4_K070,使,use; messenger,し | つかう,2,N4,3,N4_V082 N4_V178 N4_V179
N4_K071,朝,morning; dynasty,ちょう | あさ,2,N4,5,N4_V180 N4_V181 N4_V275 N4_V386 N4_V394
N4_K072,題,topic; problem; title,だい,1,N4,2,N4_V182 N4_V183
N4_K073,仕,serve; do,し | つかえる,2,N4,2,N4_V184 N4_V185
N4_K074,京,capital,きょう | けい,2,N4,3,N4_V186 N4_V187 N4_V188
N4_K075,足,foot; leg; enough,そく | あし | たりる | たる | たす,5,N4,3,N4_V108 N4_V189 N4_V190
N4_K076,品,goods; quality; item,ひん | しな,2,N4,5,N4_V062 N4_V065 N4_V191 N4_V192 N4_V278
N4_K077,着,arrive; wear,ちゃく | きる | きせる | つく | つける,5,N4,3,N4_V193 N4_V194 N4_V195
N4_K078,別,separate; different,べつ | わかれる,2,N4,2,N4_V196 N4_V197
N4_K079,音,sound,おん | いん | おと | ね,4,N4,3,N4_V059 N4_V198 N4_V199
N4_K080,元,origin; former; base,げん | がん | もと,3,N4,3,N4_V189 N4_V200 N4_V201
N4_K081,特,special,とく,1,N4,3,N4_V196 N4_V202 N4_V203
N4_K082,風,wind; style,ふう | かぜ,2,N4,4,N4_V177 N4_V204 N4_V205 N4_V367
N4_K083,夜,night,や | よ | よる,3,N4,4,N4_V206 N4_V207 N4_V208 N4_V400
N4_K084,空,sky; empty,くう | そら | あく | あける | から,5,N4,3,N4_V209 N4_V210 N4_V211
N4_K085,有,have; exist,ゆう | う | ある,3,N4,3,N4_V212 N4_V213 N4_V214
N4_K086,起,rise; wake; occur,き | おきる | おこる | おこす,4,N4,3,N4_V215 N4_V216 N4_V217
N4_K087,運,carry; luck; movement,うん | はこぶ,2,N4,3,N4_V046 N4_V218 N4_V219
N4_K088,料,fee; material,りょう,1,N4,6,N4_V144 N4_V212 N4_V220 N4_V221 N4_V265 N4_V350
N4_K089,楽,comfort; music; enjoyable,がく | らく | たのしい | たのしむ,4,N4,2,N4_V222 N4_V223
N4_K090,色,color,しょく | しき | いろ,3,N4,6,N4_V203 N4_V224 N4_V225 N4_V316 N4_V329 N4_V357
N4_K091,帰,return,き | かえる | かえす,3,N4,3,N4_V226 N4_V227 N4_V228
N4_K092,歩,walk; step,ほ | ぶ | あるく | あゆむ,4,N4,3,N4_V102 N4_V229 N4_V230
N4_K093,悪,bad; evil,あく | お | わるい,3,N4,3,N4_V231 N4_V232 N4_V233
N4_K094,広,wide; broad,こう | ひろい | ひろまる | ひろめる | ひろがる | ひろげる,6,N4,3,N4_V234 N4_V235 N4_V236
N4_K095,店,shop; store,てん | みせ,2,N4,4,N4_V161 N4_V237 N4_V238 N4_V244
N4_K096,町,town; neighborhood,ちょう | まち,2,N4,3,N4_V239 N4_V240 N4_V241
N4_K097,住,live; reside,じゅう | すむ | すまう,3,N4,2,N4_V242 N4_V243
N4_K098,売,sell,ばい | うる | うれる,3,N4,3,N4_V244 N4_V245 N4_V246
N4_K099,待,wait,たい | まつ,2,N4,3,N4_V247 N4_V248 N4_V249
N4_K100,古,old,こ | ふるい | ふるす,3,N4,3,N4_V250 N4_V251 N4_V252
N4_K101,始,begin,し | はじめる | はじまる,3,N4,3,N4_V253 N4_V254 N4_V255
N4_K102,終,end,しゅう | おわる | おえる,3,N4,3,N4_V256 N4_V257 N4_V258
N4_K103,計,measure; plan; total,けい | はかる | はからう,3,N4,3,N4_V166 N4_V259 N4_V260
N4_K104,院,institution; hospital,いん,1,N4,3,N4_V261 N4_V262 N4_V263
N4_K105,送,send,そう | おくる,2,N4,3,N4_V264 N4_V265 N4_V266
N4_K106,族,family; tribe; group,ぞく,1,N4,2,N4_V267 N4_V268
N4_K107,映,reflect; project,えい | うつる | うつす | はえる,4,N4,2,N4_V269 N4_V270
N4_K108,買,buy,ばい | かう,2,N4,2,N4_V245 N4_V271
N4_K109,病,illness; sick,びょう | やむ | やまい,3,N4,3,N4_V272 N4_V273 N4_V274
N4_K110,早,early; fast,そう | はやい | はやまる | はやめる,4,N4,3,N4_V275 N4_V276 N4_V277
N4_K111,質,quality; substance; question,しつ | しち,2,N4,3,N4_V131 N4_V278 N4_V279
N4_K112,台,stand; platform; counter for machines,だい | たい,2,N4,2,N4_V280 N4_V281
N4_K113,室,room,しつ | むろ,2,N4,3,N4_V249 N4_V274 N4_V282
N4_K114,可,possible; acceptable,か,1,N4,3,N4_V283 N4_V284 N4_V285
N4_K115,建,build,けん | たてる | たつ,3,N4,3,N4_V286 N4_V287 N4_V288
N4_K116,転,turn; roll; transfer,てん | ころがる | ころげる | ころがす | ころぶ,5,N4,3,N4_V218 N4_V289 N4_V290
N4_K117,医,medicine; doctor,い,1,N4,3,N4_V008 N4_V291 N4_V292
N4_K118,止,stop,し | とまる | とめる,3,N4,3,N4_V293 N4_V294 N4_V295
N4_K119,字,character; letter,じ | あざ,2,N4,5,N4_V296 N4_V297 N4_V298 N4_V305 N4_V327
N4_K120,工,craft; construction; industry,こう | く,2,N4,3,N4_V030 N4_V095 N4_V299
N4_K121,急,hurry; sudden; urgent,きゅう | いそぐ,2,N4,3,N4_V202 N4_V300 N4_V301
N4_K122,図,diagram; map; plan,ず | と | はかる,3,N4,3,N4_V024 N4_V302 N4_V303
N4_K123,黒,black,こく | くろ | くろい,3,N4,2,N4_V304 N4_V305
N4_K124,花,flower,か | はな,2,N4,3,N4_V306 N4_V307 N4_V308
N4_K125,英,English; outstanding,えい,1,N4,3,N4_V309 N4_V310 N4_V311
N4_K126,走,run,そう | はしる,2,N4,3,N4_V312 N4_V313 N4_V314
N4_K127,青,blue; green; youth,せい | あお | あおい,3,N4,4,N4_V210 N4_V315 N4_V316 N4_V330
N4_K128,答,answer,とう | こたえる | こたえ,3,N4,4,N4_V132 N4_V317 N4_V318 N4_V319
N4_K129,紙,paper,し | かみ,2,N4,3,N4_V320 N4_V321 N4_V322
N4_K130,歌,song; sing,か | うた | うたう,3,N4,3,N4_V323 N4_V324 N4_V325
N4_K131,注,pour; note; attention,ちゅう | そそぐ,2,N4,3,N4_V027 N4_V079 N4_V326
N4_K132,赤,red,せき | あか | あかい | あからむ | あからめる,5,N4,3,N4_V327 N4_V328 N4_V329
N4_K133,春,spring,しゅん | はる,2,N4,3,N4_V330 N4_V331 N4_V332
N4_K134,館,building; hall,かん | やかた,2,N4,4,N4_V268 N4_V333 N4_V334 N4_V335
N4_K135,旅,travel; trip,りょ | たび,2,N4,3,N4_V335 N4_V336 N4_V337
N4_K136,験,test; experience,けん,1,N4,3,N4_V338 N4_V339 N4_V340
N4_K137,写,copy; photograph,しゃ | うつす | うつる,3,N4,2,N4_V341 N4_V342
N4_K138,去,leave; past,きょ | こ | さる,3,N4,2,N4_V343 N4_V344
N4_K139,研,polish; research,けん | とぐ,2,N4,3,N4_V345 N4_V346 N4_V347
N4_K140,飲,drink,いん | のむ,2,N4,3,N4_V348 N4_V349 N4_V350
N4_K141,肉,meat; flesh,にく,1,N4,4,N4_V351 N4_V352 N4_V353 N4_V390
N4_K142,服,clothes; obey,ふく,1,N4,5,N4_V354 N4_V355 N4_V356 N4_V379 N4_V403
N4_K143,銀,silver,ぎん,1,N4,2,N4_V357 N4_V358
N4_K144,茶,tea,ちゃ | さ,2,N4,3,N4_V225 N4_V359 N4_V360
N4_K145,究,investigate; research,きゅう | きわめる,2,N4,4,N4_V345 N4_V347 N4_V361 N4_V362
N4_K146,洋,ocean; Western style,よう,1,N4,4,N4_V205 N4_V354 N4_V363 N4_V364
N4_K147,兄,older brother,けい | あに,2,N4,1,N4_V365
N4_K148,秋,autumn,しゅう | あき,2,N4,3,N4_V366 N4_V367 N4_V368
N4_K149,堂,hall,どう,1,N4,1,N4_V369
N4_K150,週,week,しゅう,1,N4,2,N4_V370 N4_V371
N4_K151,習,learn; practice,しゅう | ならう,2,N4,3,N4_V372 N4_V373 N4_V374
N4_K152,試,try; test,し | こころみる | ためす,3,N4,3,N4_V339 N4_V375 N4_V376
N4_K153,夏,summer,か | なつ,2,N4,3,N4_V377 N4_V378 N4_V379
N4_K154,弟,younger brother,てい | おとうと,2,N4,1,N4_V380
N4_K155,鳥,bird,ちょう | とり,2,N4,2,N4_V381 N4_V382
N4_K156,犬,dog,けん | いぬ,2,N4,3,N4_V383 N4_V384 N4_V385
N4_K157,夕,evening,せき | ゆう,2,N4,4,N4_V023 N4_V386 N4_V387 N4_V396
N4_K158,魚,fish,ぎょ | うお | さかな,3,N4,3,N4_V388 N4_V389 N4_V390
N4_K159,借,borrow; rent,しゃく | かりる,2,N4,3,N4_V391 N4_V392 N4_V393
N4_K160,飯,meal; cooked rice,はん | めし,2,N4,3,N4_V394 N4_V395 N4_V396
N4_K161,駅,station,えき,1,N4,2,N4_V162 N4_V397
N4_K162,昼,daytime; noon,ちゅう | ひる,2,N4,4,N4_V395 N4_V398 N4_V399 N4_V400
N4_K163,冬,winter,とう | ふゆ,2,N4,3,N4_V401 N4_V402 N4_V403
N4_K164,姉,older sister,し | あね,2,N4,1,N4_V404
N4_K165,曜,weekday,よう,1,N4,2,N4_V405 N4_V406
N4_K166,漢,China; Chinese; Han,かん,1,N4,3,N4_V296 N4_V407 N4_V408
N4_K167,牛,cow; beef,ぎゅう | うし,2,N4,3,N4_V351 N4_V409 N4_V410
N4_K168,妹,younger sister,まい | いもうと,2,N4,2,N4_V404 N4_V411
N4_K169,貸,lend; rent out,たい | かす,2,N4,3,N4_V392 N4_V412 N4_V413
N4_K170,勉,make an effort; study,べん,1,N4,2,N4_V414 N4_V415
N3_K001,合,fit; join; combine,ごう | がっ | あう | あわす | あわせる,5,N3,6,N3_V001 N3_V130 N3_V211 N3_V360 N3_V388 N3_V507
N3_K002,部,part; section; department,ぶ,1,N3,2,N3_V002 N3_V365
N3_K003,彼,he; him; that,ひ | かれ,2,N3,2,N3_V003 N3_V163
N3_K004,内,inside; within,ない | うち,2,N3,3,N3_V004 N3_V366 N3_V384
N3_K005,実,truth; reality; fruit,じつ | み | みのる,3,N3,3,N3_V005 N3_V355 N3_V404
N3_K006,当,hit; correspond; appropriate,とう | あたる | あてる,3,N3,3,N3_V006 N3_V316 N3_V395
N3_K007,戦,war; battle; fight,せん | いくさ | たたかう,3,N3,2,N3_V007 N3_V293
N3_K008,性,nature; sex; characteristic,せい | しょう,2,N3,2,N3_V008 N3_V367
N3_K009,対,opposite; versus; pair,たい | つい,2,N3,4,N3_V009 N3_V200 N3_V374 N3_V436
N3_K010,関,relation; barrier; concern,かん | せき | かかわる,3,N3,2,N3_V010 N3_V368
N3_K011,感,feeling; sensation,かん,1,N3,4,N3_V011 N3_V109 N3_V139 N3_V534
N3_K012,定,decide; fixed; determine,てい | じょう | さだめる | さだまる | さだか,5,N3,12,N3_V012 N3_V058 N3_V132 N3_V147 N3_V155 N3_V229 N3_V230 N3_V320 N3_V385 N3_V412 N3_V424 N3_V505
N3_K013,政,government; politics,せい | まつりごと,2,N3,3,N3_V013 N3_V369 N3_V531
N3_K014,取,take; get,しゅ | とる,2,N3,3,N3_V014 N3_V370 N3_V493
N3_K015,所,place; point,しょ | ところ,2,N3,2,N3_V015 N3_V121
N3_K016,現,present; appear; actual,げん | あらわれる | あらわす,3,N3,2,N3_V005 N3_V016
N3_K017,最,most; extreme,さい | もっとも,2,N3,3,N3_V063 N3_V371 N3_V567
