id,word,reading,english_meaning,study_level,kanji_components,component_levels
N5_V181,一万円,いちまんえん,"10,000 yen",N5,一 万 円,N5 N5 N5
N5_V182,百万円,ひゃくまんえん,one million yen,N5,百 万 円,N5 N5 N5
N5_V183,半分,はんぶん,half,N5,半 分,N5 N5
N5_V184,一番,いちばん,number one; best; first,N5,一 番,N5 N3
N5_V185,全部,ぜんぶ,all; whole,N5,全 部,N3 N3
N5_V186,自分,じぶん,oneself,N5,自 分,N4 N5
N5_V187,大丈夫,だいじょうぶ,all right; okay,N5,大 丈 夫,N5 N2 N3
N5_V188,問題,もんだい,problem; question,N5,問 題,N4 N4
N5_V189,有名,ゆうめい,famous,N5,有 名,N4 N5
N5_V190,意味,いみ,meaning,N5,意 味,N4 N4
N5_V191,上手,じょうず,skillful; good at,N5,上 手,N5 N4
N5_V192,下手,へた,unskillful; poor at,N5,下 手,N5 N4
N5_V193,一緒,いっしょ,together,N5,一 緒,N5 N3
N5_V194,本屋,ほんや,bookstore,N5,本 屋,N5 N4
N5_V195,八百屋,やおや,greengrocer,N5,八 百 屋,N5 N5 N4
N5_V196,喫茶店,きっさてん,coffee shop; café,N5,喫 茶 店,N2 N4 N4
N5_V197,万年筆,まんねんひつ,fountain pen,N5,万 年 筆,N5 N5 N2
N5_V198,誕生日,たんじょうび,birthday,N5,誕 生 日,N1 N5 N5
N5_V199,番号,ばんごう,number,N5,番 号,N3 N3
N5_V200,住所,じゅうしょ,address,N5,住 所,N4 N3
N5_V201,国籍,こくせき,nationality,N5,国 籍,N5 N2
N5_V202,留学,りゅうがく,study abroad,N5,留 学,N3 N5
N5_V203,見学,けんがく,observation; study visit,N5,見 学,N5 N5
N5_V204,火山,かざん,volcano,N5,火 山,N5 N5
N5_V205,小川,おがわ,stream; small river,N5,小 川,N5 N5
N5_V206,白黒,しろくろ,black and white,N5,白 黒,N5 N4
N5_V207,休日,きゅうじつ,holiday; day off,N5,休 日,N5 N5
N5_V208,一週間,いっしゅうかん,one week,N5,一 週 間,N5 N4 N5
N5_V209,二週間,にしゅうかん,two weeks,N5,二 週 間,N5 N4 N5
N5_V210,一ヶ月,いっかげつ,one month,N5,一 月,N5 N5
N5_V211,二ヶ月,にかげつ,two months,N5,二 月,N5 N5
N5_V212,一年前,いちねんまえ,one year ago,N5,一 年 前,N5 N5 N5
N5_V213,一年後,いちねんご,one year later,N5,一 年 後,N5 N5 N5
